"ShowSport","2018","3","23"
"Dia a dia cordoba","2018","3","22"
"Canal 12 Blog","2018","4","22"
"Luis Zegarra","2018","5","22"
"Bipolares FM","2017","12","21"
"Mariano Saravia","2016","4","21"
"Luis Zegarra","2018","10","21"
"Luis Zegarra","2018","11","21"
"Municipalidad de Cordoba","2018","6","20"
"Dia Siete Política","2018","8","20"
"ADN TV","2018","8","20"
"ShowSport","2018","1","19"
"Canal 12 Blog","2018","9","19"
"Resumen de TV cordobesa Kakaroto","2019","1","19"
"Luis Zegarra","2018","8","19"
"Bipolares FM","2018","2","19"
"Luis Zegarra","2018","12","19"
"Luis Zegarra","2018","9","18"
".Cordoba.Ar","2018","3","18"
".Cordoba.Ar","2018","12","18"
"Luis Zegarra","2018","4","18"
"Zoom Contenidos","2015","11","17"
"Canal 12 Blog","2018","3","17"
"Dia a dia cordoba","2018","11","17"
"Luis Zegarra","2018","7","16"
"Zoom Contenidos","2015","12","16"
"Resumen de TV cordobesa Kakaroto","2018","12","16"
"Zoom Contenidos","2016","2","16"
"Dia a dia cordoba","2019","1","16"
".Cordoba.Ar","2018","5","16"
".Cordoba.Ar","2018","6","16"
"Municipalidad de Cordoba","2018","1","15"
"Dia Siete Política","2018","7","15"
".Cordoba.Ar","2018","11","15"
"Dia a dia cordoba","2018","9","15"
".Cordoba.Ar","2018","9","15"
"Canal 12 Blog","2018","11","15"
"ShowSport","2018","4","15"
"CVA Medios","2015","5","15"
".Cordoba.Ar","2018","10","14"
"Dia a dia cordoba","2018","5","14"
"Resumen de TV cordobesa Kakaroto","2018","10","14"
"Dia a dia cordoba","2018","10","13"
"Dia a dia cordoba","2018","12","12"
"Luis Zegarra","2018","3","12"
"Zoom Contenidos","2016","1","12"
"La Voz del Interior","2019","1","12"
"CVA Medios","2015","6","12"
"Luis Zegarra","2018","6","11"
".Cordoba.Ar","2018","8","11"
".Cordoba.Ar","2018","4","11"
"Dia a dia cordoba","2018","1","11"
"Dia a dia cordoba","2018","7","10"
"Resumen de TV cordobesa Kakaroto","2019","2","10"
"Bipolares FM","2018","1","9"
"Canal 12 Blog","2018","2","9"
"CVA Medios","2015","12","9"
"Juan Manuel Lucero","2015","7","9"
"ADN TV","2015","4","9"
".Cordoba.Ar","2018","7","9"
"Dia a dia cordoba","2019","2","8"
"ADN TV","2014","7","8"
"CVA Medios","2014","10","8"
"La Voz del Interior","2019","2","8"
"Juan Manuel Lucero","2014","12","8"
"Bipolares FM","2018","5","8"
"Luis Zegarra","2018","1","7"
"Dia Siete Política","2018","9","7"
"Bipolares FM","2017","11","7"
"ADN TV","2014","5","7"
"La Voz del Interior","2018","8","6"
"CVA Medios","2016","3","6"
"Dia a dia cordoba","2018","4","6"
"Juan Manuel Lucero","2014","11","6"
"CVA Medios","2015","4","6"
"Luis Zegarra","2019","2","6"
"Juan Manuel Lucero","2016","7","5"
"ADN TV","2014","6","5"
"Juan Manuel Lucero","2015","5","5"
"ADN TV","2014","11","5"
"ADN TV","2014","12","5"
".Cordoba.Ar","2018","1","5"
"CVA Medios","2014","12","5"
"ADN TV","2018","9","5"
"Zoom Contenidos","2015","10","5"
"Juan Manuel Lucero","2014","10","5"
"CVA Medios","2014","9","5"
"Mariano Saravia","2018","10","5"
"La Voz del Interior","2018","3","5"
"Juan Manuel Lucero","2016","4","5"
"Mariano Saravia","2015","1","5"
"Mariano Saravia","2015","6","5"
"Hoy no duermo en casa","2018","7","4"
"ADN TV","2014","9","4"
"Canal 12 Blog","2018","7","4"
"ADN TV","2014","10","4"
"Juan Manuel Lucero","2014","9","4"
"Juan Manuel Lucero","2015","3","4"
"Bipolares FM","2018","4","4"
"CVA Medios","2016","9","4"
"Juan Manuel Lucero","2015","1","4"
"Juan Manuel Lucero","2015","4","4"
"Canal 12 Blog","2018","6","4"
"Canal 12 Blog","2018","1","4"
"Mariano Saravia","2018","6","3"
"Luis Zegarra","2019","1","3"
"Juan Manuel Lucero","2016","8","3"
"Juan Manuel Lucero","2015","6","3"
"ADN TV","2018","11","3"
"CVA Medios","2016","1","3"
"Mariano Saravia","2018","9","3"
"ADN TV","2014","8","3"
"Juan Manuel Lucero","2015","11","3"
"Gobierno de Cordoba Argentina","2015","5","3"
"CVA Medios","2016","5","3"
"Hoy no duermo en casa","2018","10","3"
"Gobierno de Cordoba Argentina","2015","12","3"
"Mariano Saravia","2018","5","3"
"Hoy no duermo en casa","2018","11","3"
"Juan Manuel Lucero","2016","2","3"
"CVA Medios","2017","5","3"
"Hoy no duermo en casa","2018","6","3"
"CVA Medios","2015","7","2"
"La Voz del Interior","2018","7","2"
"Bipolares FM","2018","8","2"
"Gobierno de Cordoba Argentina","2017","8","2"
"Juan Manuel Lucero","2015","8","2"
"CVA Medios","2016","2","2"
"Juan Manuel Lucero","2017","5","2"
"Juan Manuel Lucero","2015","9","2"
"CVA Medios","2014","11","2"
"CVA Medios","2014","8","2"
"Juan Manuel Lucero","2015","2","2"
"Gobierno de Cordoba Argentina","2015","8","2"
"ADN TV","2018","10","2"
"CVA Medios","2016","6","2"
"Mariano Saravia","2016","6","2"
"Mariano Saravia","2018","12","2"
"Gobierno de Cordoba Argentina","2016","5","2"
"Hoy no duermo en casa","2018","9","2"
"Bipolares FM","2018","11","2"
"Mariano Saravia","2016","7","2"
"Hoy no duermo en casa","2018","12","2"
"Hoy no duermo en casa","2019","1","2"
"CVA Medios","2016","11","2"
"Gobierno de Cordoba Argentina","2016","11","2"
"Gobierno de Cordoba Argentina","2017","1","2"
"Mariano Saravia","2017","3","2"
"Juan Manuel Lucero","2016","6","2"
"Gobierno de Cordoba Argentina","2017","4","2"
"CVA Medios","2018","11","2"
"La Voz del Interior","2018","6","1"
"Gobierno de Cordoba Argentina","2017","5","1"
"CVA Medios","2015","8","1"
"Gobierno de Cordoba Argentina","2017","6","1"
"Juan Manuel Lucero","2016","12","1"
"Gobierno de Cordoba Argentina","2017","7","1"
"Juan Manuel Lucero","2017","4","1"
"Gobierno de Cordoba Argentina","2013","7","1"
"Gobierno de Cordoba Argentina","2017","12","1"
"Gobierno de Cordoba Argentina","2014","8","1"
"Juan Manuel Lucero","2017","7","1"
"Gobierno de Cordoba Argentina","2014","12","1"
"ADN TV","2015","5","1"
"CVA Medios","2016","4","1"
"Juan Manuel Lucero","2017","12","1"
"Juan Manuel Lucero","2018","10","1"
"Hoy no duermo en casa","2014","5","1"
"Hoy no duermo en casa","2014","10","1"
"Mariano Saravia","2018","7","1"
"CVA Medios","2016","7","1"
"Hoy no duermo en casa","2015","10","1"
"Gobierno de Cordoba Argentina","2016","4","1"
"Hoy no duermo en casa","2015","12","1"
"Hoy no duermo en casa","2016","9","1"
"Gobierno de Cordoba Argentina","2016","8","1"
"Hoy no duermo en casa","2016","10","1"
"Mariano Saravia","2014","12","1"
"Gobierno de Cordoba Argentina","2016","10","1"
"ADN TV","2014","4","1"
"Mariano Saravia","2016","10","1"
"Hoy no duermo en casa","2017","8","1"
".Cordoba.Ar","2019","2","1"
"CVA Medios","2017","8","1"
"Mariano Saravia","2016","12","1"
"La Voz del Interior","2018","4","1"
"Juan Manuel Lucero","2016","5","1"
"Bipolares FM","2018","7","1"
".Cordoba.Ar","2018","2","1"
"CVA Medios","2017","9","1"
"La Voz del Interior","2018","5","1"
"CVA Medios","2018","10","1"
"CVA Medios","2018","7","1"
"CVA Medios","2017","12","1"
"Mariano Saravia","2017","4","1"
